'CONTROLE DE FIGURINHAS'        y=79.4  x=137.2
'KSA16'                         y=679.0  x=653.3
'KSA17'                         y=679.0  x=687.7
'KSA18'                         y=679.0  x=722.2
'KSA19'                         y=679.0  x=756.6
'KSA20'                         y=679.0  x=791.1
'Uruguai'                       y=692.8  x=54.2
'URU1'                          y=693.8  x=138.0
'URU2'                          y=693.8  x=172.5
'URU3'                          y=693.8  x=206.9
'URU4'                          y=693.8  x=241.4
'URU5'                          y=693.8  x=275.8
'URU6'                          y=693.8  x=310.2
'URU7'                          y=693.8  x=344.7
'URU8'                          y=693.8  x=379.1
'URU9'                          y=693.8  x=413.6
'URU10'                         y=693.8  x=445.5
